path	role	status	proof_use
m28_D12_lower_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m28_D13_lower_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m29_D12_Delta_26.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m29_D13_Delta_26.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m29_D12_Delta_48_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m29_D12_Delta_49_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_B11_12_lower_exact39.log	input-delta	accepted	parsed by post_m29 first-hit replay
m30_BC13_18_pair_range_exact39.log	input-delta	accepted	parsed by post_m29 first-hit replay
m30_D12_Delta_50_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D12_Delta_51_reverse.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D13_16_lower.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D13_missing44_50.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D13_safe_lower.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D14_missing44_49.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D14_missing46_49.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D14_safe_lower.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D15_missing44_48.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D15_safe_lower.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
m30_D17_65_lower.log	input-delta	superseded	legacy determinant-only type-D input; no accepted proof replay parses it
post_m29_lower_bound_supplier_certificate_replay.log	replay	accepted	accepted B/C-only first-hit Chain replay; exactly 530 rows and no type-D input
b11_delta_logs_bonly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
b11_bridge_range_certificate.log	replay	superseded	superseded by the unified 34-step low-B/C exact-onset bridge replay
b11_direct_tail_certificate.log	replay	superseded	terminal cap used the uncorrected non-simply-laced root normalization; replaced by the exact-MGF tail
b11_m31_reverse_lower.log	replay	superseded	superseded by B11 bridge-range replay
b12_delta_logs_bonly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
b12_finite_tail_certificate.log	replay	superseded	terminal cap used the uncorrected non-simply-laced root normalization; replaced by the exact-MGF tail and unified bridge
b13_delta_logs_bonly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
b13_finite_tail_certificate.log	replay	superseded	terminal cap used the uncorrected non-simply-laced root normalization; replaced by the exact-MGF tail and unified bridge
b13_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	B13 exact-through-54 and exact-through-57 direct-tail scans
b14_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	B14 exact-through-39 direct-tail no-candidate scan
c13_delta_logs_conly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
c13_finite_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail and unified bridge
c14_delta_logs_conly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
c14_finite_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail and unified bridge
c15_direct_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail
c16_direct_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail and first-hit replay
c17_delta_logs_conly.sha256	input-delta-manifest	accepted	parsed by the low-B/C exact-onset bridge and B/C first-hit replays
c17_finite_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail and unified bridge
c18_delta_logs_conly.sha256	input-delta-manifest	accepted	parsed by the B/C first-hit replay
c18_finite_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail
c18_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	C18 exact-through-39 and exact-through-47 direct-tail no-candidate scans
c19_delta_logs_conly.sha256	input-delta-manifest	accepted	parsed by the B/C first-hit replay
c19_finite_tail_certificate.log	replay	superseded	non-simply-laced cap normalization was not justified; replaced by the exact-MGF tail
c19_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	C19 direct-tail candidate/no-candidate scans
d12_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d13_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d14_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d14_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d14_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D14 exact-through-49 direct-tail candidate scan
d15_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d15_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d15_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D15 exact-through-48 direct-tail candidate scan
d16_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d16_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d16_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D16 exact-through-45 direct-tail candidate scan
d17_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d17_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d17_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D17 exact-through-44 direct-tail candidate scan
d18_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d18_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d18_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D18 exact-through-43 direct-tail candidate scan
d19_delta_logs_donly.sha256	input-delta-manifest	accepted	D19 determinant rows; correction-aware replay consumes only the proved j<=38 window
d19_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d19_exact_mgf_machine_c.sha256	input-delta-manifest	accepted	machine-C exact adjoint moments through degree 34, full j=39 correction, and authenticated D19 certificate outputs
d19_exact_mgf/d19_exact_mgf_onset63_mpfr_machine_c_certificate.log	replay	accepted	machine-C directed-MPFR exact-push-moment tail certificate for D19 from odd n=63
d19_exact_mgf/d19_onset63_complete_bridge_machine_c_certificate.log	replay	accepted	machine-C exact-GMP correction-aware bridge for all 24 D19 Chain steps through odd n=63
d19_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D19 exact-through-44 direct-tail candidate scan
d20_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d20_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d21_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d21_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d22_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d22_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d23_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d23_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d24_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d24_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d25_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d25_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d26_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d26_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d27_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d27_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d28_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d28_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d28_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D28 exact-through-35 direct-tail candidate/no-candidate scans
d29_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d29_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d29_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D29 exact-through-35 direct-tail candidate/no-candidate scans
d30_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d30_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d30_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D30 exact-through-35 direct-tail candidate/no-candidate scans
d31_delta_logs_donly.sha256	input-delta-manifest	superseded	legacy determinant-only input manifest; no accepted proof replay parses it
d31_finite_tail_certificate.log	replay	superseded	legacy replay treated determinant-only rows beyond the A-free window as full corrections
d31_direct_tail_scan_diagnostics.sha256	diagnostic-manifest	diagnostic	D31 exact-through-35 direct-tail candidate/no-candidate scans
